epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5142,1.15714,2.7872,1.51567,0.49792,0.53984,0.52567,0.34319,1.21878,1.89347,1.65411,0.000237487,0.000237487,0.000237487
2,149.741,1.19033,2.0292,1.51693,0.503,0.55052,0.51103,0.32177,1.2461,1.75678,1.62986,0.000466072,0.000466072,0.000466072
3,216.023,1.19595,1.82902,1.5049,0.64995,0.58475,0.61545,0.39717,1.23453,1.55721,1.63273,0.000685233,0.000685233,0.000685233
4,282.023,1.17402,1.69735,1.49726,0.62745,0.67499,0.66868,0.43717,1.21326,1.35882,1.61179,0.000671588,0.000671588,0.000671588
5,348.008,1.15649,1.57018,1.47743,0.62257,0.6694,0.65451,0.43054,1.16649,1.38013,1.56599,0.000657451,0.000657451,0.000657451
6,413.735,1.14334,1.48022,1.46744,0.69007,0.65912,0.70209,0.46445,1.19264,1.27784,1.58319,0.000643314,0.000643314,0.000643314
7,480.472,1.13152,1.42728,1.44955,0.66048,0.66262,0.69216,0.47243,1.11098,1.23953,1.51997,0.000629177,0.000629177,0.000629177
8,550.804,1.1213,1.35166,1.43955,0.71027,0.66328,0.72092,0.4913,1.12704,1.1834,1.5338,0.00061504,0.00061504,0.00061504
9,621.409,1.10926,1.31729,1.43878,0.70775,0.68628,0.73203,0.51123,1.07935,1.12495,1.485,0.000600902,0.000600902,0.000600902
10,693.992,1.09888,1.24677,1.42771,0.76376,0.72775,0.75941,0.52135,1.06907,1.07854,1.47652,0.000586765,0.000586765,0.000586765
11,766.163,1.06002,1.19513,1.40542,0.76118,0.72867,0.77076,0.53421,1.06595,1.00322,1.47582,0.000572628,0.000572628,0.000572628
12,837.167,1.06592,1.17639,1.40604,0.74308,0.73095,0.76688,0.53328,1.10362,1.0143,1.50424,0.000558491,0.000558491,0.000558491
13,906.98,1.05985,1.15191,1.39703,0.73652,0.7565,0.77989,0.54032,1.07224,0.97413,1.4846,0.000544354,0.000544354,0.000544354
14,974.033,1.04569,1.12216,1.3905,0.74811,0.74547,0.77721,0.54278,1.08158,0.98682,1.46722,0.000530216,0.000530216,0.000530216
15,1041.15,1.04732,1.108,1.38225,0.75703,0.75728,0.79726,0.55483,1.06393,0.93031,1.4505,0.000516079,0.000516079,0.000516079
16,1108.37,1.02179,1.08146,1.37198,0.78949,0.74548,0.80173,0.56516,1.05758,0.89924,1.45104,0.000501942,0.000501942,0.000501942
17,1173.86,1.02486,1.0658,1.37119,0.78491,0.75089,0.79398,0.56303,1.05609,0.90129,1.45505,0.000487805,0.000487805,0.000487805
18,1238.99,1.02116,1.02616,1.36426,0.76087,0.75076,0.79261,0.56588,1.04176,0.9112,1.43502,0.000473668,0.000473668,0.000473668
19,1305.81,1.02258,1.0328,1.36972,0.76106,0.73547,0.77303,0.55094,1.04465,0.94396,1.43995,0.00045953,0.00045953,0.00045953
20,1372.91,1.02334,1.00663,1.36854,0.77379,0.76565,0.80842,0.57141,1.0377,0.87574,1.43946,0.000445393,0.000445393,0.000445393
21,1440.01,0.99774,0.98797,1.35106,0.77653,0.77887,0.81572,0.57124,1.03291,0.85649,1.43887,0.000431256,0.000431256,0.000431256
22,1507.48,1.00123,0.98843,1.36036,0.78653,0.76632,0.82151,0.59115,1.00767,0.85223,1.41323,0.000417119,0.000417119,0.000417119
23,1574.85,0.98497,0.96629,1.34655,0.76759,0.76198,0.79962,0.57163,1.01065,0.88318,1.41189,0.000402982,0.000402982,0.000402982
24,1639.86,0.97801,0.95429,1.34007,0.77493,0.76407,0.81108,0.57375,1.02124,0.86453,1.42034,0.000388844,0.000388844,0.000388844
25,1706.48,0.96611,0.93167,1.32572,0.76903,0.7822,0.81449,0.57782,1.03036,0.84672,1.43274,0.000374707,0.000374707,0.000374707
26,1772.67,0.96575,0.92388,1.33456,0.80395,0.76594,0.81864,0.58664,1.00072,0.81855,1.40215,0.00036057,0.00036057,0.00036057
27,1836.38,0.96901,0.90709,1.33404,0.79502,0.76905,0.81762,0.58937,0.99619,0.8251,1.39091,0.000346433,0.000346433,0.000346433
28,1901.36,0.9514,0.87666,1.31964,0.76701,0.78409,0.81451,0.59258,0.99275,0.81908,1.38388,0.000332296,0.000332296,0.000332296
29,1966.88,0.95452,0.87525,1.31369,0.78079,0.79266,0.82668,0.60159,0.9848,0.78686,1.38631,0.000318158,0.000318158,0.000318158
30,2033.79,0.94687,0.86293,1.31262,0.80654,0.76426,0.82714,0.59471,1.00082,0.78859,1.38755,0.000304021,0.000304021,0.000304021
31,2100.63,0.95466,0.85375,1.31298,0.78464,0.7774,0.82398,0.59593,0.97903,0.78063,1.37903,0.000289884,0.000289884,0.000289884
32,2167.54,0.9416,0.83528,1.30606,0.79699,0.77722,0.83187,0.60518,0.98137,0.77293,1.36921,0.000275747,0.000275747,0.000275747
33,2234.15,0.92771,0.83153,1.29835,0.81721,0.76543,0.82871,0.60348,0.97356,0.77699,1.37695,0.00026161,0.00026161,0.00026161
34,2301.1,0.92868,0.82025,1.30124,0.80594,0.7876,0.83171,0.60374,0.98539,0.76199,1.38767,0.000247472,0.000247472,0.000247472
35,2368.27,0.92313,0.81994,1.29463,0.83473,0.76822,0.83388,0.60513,0.97248,0.76205,1.37036,0.000233335,0.000233335,0.000233335
36,2436.42,0.92939,0.8132,1.29627,0.82264,0.7919,0.83991,0.6145,0.96995,0.75579,1.36908,0.000219198,0.000219198,0.000219198
37,2502.84,0.91341,0.79455,1.28675,0.8133,0.79214,0.84014,0.6178,0.96629,0.74071,1.36604,0.000205061,0.000205061,0.000205061
38,2567.46,0.89894,0.77893,1.27524,0.79543,0.78286,0.82735,0.60635,0.96098,0.75185,1.36704,0.000190924,0.000190924,0.000190924
39,2633.29,0.90108,0.77917,1.28547,0.80701,0.80543,0.83431,0.61026,0.96759,0.73623,1.36854,0.000176786,0.000176786,0.000176786
40,2700.85,0.90057,0.78192,1.27905,0.80879,0.78904,0.83511,0.61302,0.95959,0.74185,1.36295,0.000162649,0.000162649,0.000162649
41,2795.96,0.82849,0.66082,1.27247,0.82667,0.7855,0.83714,0.61452,0.95467,0.72666,1.35649,0.000148512,0.000148512,0.000148512
42,2858.68,0.81379,0.63816,1.26058,0.82742,0.79033,0.84146,0.61656,0.94649,0.71878,1.34734,0.000134375,0.000134375,0.000134375
43,2920.92,0.80864,0.6243,1.26272,0.82926,0.78745,0.84128,0.61895,0.94953,0.73201,1.3508,0.000120238,0.000120238,0.000120238
44,2984.22,0.79875,0.60471,1.25185,0.83097,0.7887,0.84606,0.62189,0.94255,0.72011,1.35005,0.0001061,0.0001061,0.0001061
45,3048.52,0.78826,0.59353,1.24122,0.84317,0.7859,0.84475,0.62462,0.93715,0.71238,1.34376,9.19632e-05,9.19632e-05,9.19632e-05
46,3112.37,0.78443,0.58787,1.24272,0.84353,0.78343,0.84606,0.62552,0.93637,0.7061,1.33904,7.7826e-05,7.7826e-05,7.7826e-05
47,3180.98,0.78201,0.58345,1.23178,0.83052,0.79185,0.84266,0.62126,0.94018,0.70649,1.34019,6.36888e-05,6.36888e-05,6.36888e-05
48,3249.55,0.76849,0.56451,1.21936,0.82633,0.79946,0.84549,0.6263,0.93714,0.70685,1.33817,4.95516e-05,4.95516e-05,4.95516e-05
49,3318.05,0.76877,0.56735,1.22717,0.84073,0.79204,0.84547,0.62543,0.93357,0.70352,1.33627,3.54144e-05,3.54144e-05,3.54144e-05
50,3386.17,0.76006,0.56009,1.2268,0.84628,0.79335,0.84799,0.62817,0.92851,0.69646,1.33336,2.12772e-05,2.12772e-05,2.12772e-05
